iter	Passed	Remaining
0	140	140320
1	142	71021
2	144	47917
3	146	36480
4	148	29603
5	150	24945
6	152	21639
7	154	19145
8	156	17203
9	158	15663
10	162	14650
11	164	13573
12	177	13512
13	179	12675
14	181	11947
15	183	11309
16	185	10718
17	186	10190
18	188	9720
19	190	9317
20	192	8958
21	193	8607
22	195	8287
23	196	7991
24	198	7722
25	199	7469
26	200	7234
27	202	7017
28	203	6816
29	205	6650
30	207	6486
31	209	6332
32	211	6187
33	212	6051
34	214	5918
35	216	5789
36	218	5674
37	219	5562
38	221	5449
39	222	5343
40	224	5241
41	225	5145
42	227	5052
43	228	4962
44	229	4877
45	231	4799
46	233	4735
47	235	4667
48	236	4597
49	238	4530
50	239	4463
51	241	4398
52	242	4336
53	244	4276
54	245	4219
55	247	4171
56	249	4124
57	251	4085
58	254	4051
59	255	4002
60	256	3954
61	258	3918
62	262	3909
63	264	3867
64	266	3828
65	267	3789
66	269	3750
67	271	3715
68	272	3677
69	274	3642
70	278	3640
71	279	3607
72	281	3574
73	283	3545
74	284	3512
75	286	3481
76	288	3454
77	289	3423
78	292	3413
79	294	3387
80	296	3360
81	297	3331
82	298	3295
83	299	3267
84	301	3241
85	302	3214
86	304	3194
87	306	3175
88	308	3154
89	309	3130
90	310	3106
91	312	3083
92	313	3060
93	315	3038
94	316	3016
95	318	2997
96	319	2977
97	323	2978
98	325	2961
99	327	2945
100	328	2927
101	330	2907
102	331	2888
103	333	2874
104	335	2858
105	337	2848
106	339	2836
107	341	2819
108	342	2802
109	344	2784
110	345	2767
111	346	2751
112	348	2736
113	352	2737
114	354	2726
115	355	2710
116	356	2692
117	358	2677
118	359	2662
119	361	2649
120	362	2635
121	363	2618
122	365	2607
123	368	2601
124	369	2587
125	371	2574
126	372	2558
127	373	2545
128	375	2533
129	376	2521
130	378	2508
131	379	2495
132	382	2492
133	384	2484
134	385	2472
135	387	2460
136	388	2448
137	390	2439
138	392	2428
139	393	2416
140	394	2405
141	396	2393
142	398	2387
143	399	2376
144	401	2365
145	402	2354
146	404	2346
147	405	2336
148	407	2326
149	408	2316
150	410	2307
151	414	2311
152	416	2304
153	418	2297
154	422	2300
155	424	2294
156	426	2292
157	429	2286
158	430	2277
159	432	2268
160	432	2256
161	435	2251
162	437	2244
163	438	2235
164	440	2230
165	443	2225
166	444	2218
167	446	2209
168	447	2201
169	449	2192
170	450	2184
171	452	2176
172	455	2176
173	456	2168
174	458	2160
175	459	2153
176	461	2144
177	462	2137
178	464	2129
179	465	2121
180	467	2114
181	468	2106
182	471	2103
183	473	2098
184	474	2092
185	476	2084
186	477	2077
187	479	2070
188	480	2063
189	482	2056
190	484	2053
191	486	2047
192	488	2040
193	489	2033
194	490	2026
195	492	2019
196	495	2019
197	497	2014
198	499	2008
199	501	2005
200	503	2002
201	505	1995
202	506	1989
203	508	1982
204	509	1975
205	511	1972
206	513	1966
207	516	1968
208	518	1962
209	520	1956
210	521	1950
211	523	1946
212	525	1940
213	526	1934
214	527	1927
215	530	1925
216	532	1923
217	534	1917
218	536	1913
219	538	1907
220	539	1901
221	541	1895
222	542	1890
223	543	1884
224	547	1884
225	548	1879
226	550	1875
227	552	1870
228	553	1865
229	555	1859
230	556	1854
231	558	1848
232	562	1851
233	564	1848
234	566	1844
235	569	1842
236	570	1837
237	572	1831
238	573	1826
239	577	1829
240	579	1826
241	581	1821
242	583	1817
243	585	1813
244	587	1811
245	589	1806
246	593	1808
247	594	1803
248	596	1798
249	597	1793
250	599	1788
251	600	1782
252	602	1778
253	604	1774
254	609	1779
255	611	1776
256	613	1773
257	615	1769
258	616	1764
259	618	1759
260	619	1754
261	622	1752
262	624	1751
263	626	1747
264	628	1743
265	630	1738
266	632	1735
267	633	1730
268	635	1725
269	639	1729
270	641	1725
271	642	1720
272	644	1715
273	645	1711
274	647	1706
275	648	1701
276	650	1696
277	653	1697
278	655	1694
279	657	1690
280	659	1686
281	660	1681
282	661	1677
283	663	1672
284	665	1669
285	668	1669
286	670	1665
287	671	1660
288	672	1655
289	674	1650
290	675	1645
291	676	1640
292	678	1636
293	679	1631
294	680	1626
295	682	1624
296	684	1619
297	685	1615
298	687	1611
299	689	1608
300	690	1604
301	692	1600
302	693	1595
303	695	1591
304	698	1592
305	700	1589
306	702	1585
307	703	1581
308	705	1576
309	706	1572
310	707	1568
311	709	1563
312	710	1559
313	712	1557
314	716	1557
315	717	1553
316	719	1550
317	720	1545
318	722	1541
319	723	1537
320	724	1533
321	728	1533
322	730	1530
323	732	1529
324	734	1526
325	736	1523
326	738	1519
327	739	1515
328	741	1512
329	743	1510
330	745	1506
331	747	1503
332	748	1499
333	750	1496
334	751	1492
335	753	1488
336	755	1485
337	757	1484
338	759	1481
339	761	1478
340	763	1474
341	764	1470
342	765	1466
343	767	1463
344	770	1462
345	774	1464
346	777	1462
347	778	1458
348	779	1454
349	781	1450
350	782	1447
351	791	1457
352	794	1455
353	796	1452
354	798	1450
355	801	1450
356	803	1447
357	806	1446
358	808	1443
359	838	1491
360	840	1488
361	843	1486
362	845	1482
363	846	1479
364	848	1476
365	851	1474
366	852	1470
367	854	1466
368	855	1463
369	858	1461
370	860	1458
371	861	1454
372	863	1451
373	867	1451
374	869	1448
375	871	1446
376	872	1442
377	874	1438
378	875	1434
379	877	1431
380	878	1427
381	881	1425
382	883	1423
383	885	1421
384	887	1417
385	889	1414
386	890	1410
387	891	1406
388	895	1407
389	898	1404
390	899	1401
391	901	1398
392	903	1396
393	905	1393
394	907	1390
395	910	1388
396	913	1387
397	915	1384
398	929	1400
399	945	1417
400	947	1414
401	948	1411
402	950	1408
403	952	1405
404	954	1402
405	956	1399
406	959	1397
407	963	1398
408	965	1395
409	967	1392
410	969	1389
411	999	1426
412	1001	1422
413	1005	1423
414	1007	1420
415	1009	1416
416	1011	1413
417	1013	1410
418	1015	1407
419	1020	1409
420	1022	1406
421	1024	1403
422	1026	1399
423	1027	1396
424	1029	1392
425	1031	1389
426	1032	1385
427	1074	1435
428	1075	1431
429	1077	1428
430	1079	1425
431	1081	1421
432	1083	1418
433	1087	1417
434	1088	1414
435	1090	1411
436	1093	1408
437	1095	1405
438	1096	1401
439	1098	1398
440	1101	1395
441	1103	1393
442	1145	1439
443	1146	1436
444	1151	1435
445	1153	1432
446	1156	1430
447	1158	1427
448	1160	1423
449	1161	1420
450	1163	1416
451	1165	1413
452	1167	1409
453	1169	1406
454	1171	1402
455	1173	1399
456	1175	1396
457	1184	1401
458	1186	1398
459	1187	1394
460	1189	1391
461	1191	1387
462	1193	1384
463	1195	1380
464	1197	1377
465	1199	1374
466	1201	1370
467	1203	1367
468	1204	1364
469	1206	1360
470	1208	1357
471	1214	1358
472	1218	1357
473	1234	1369
474	1236	1366
475	1238	1363
476	1240	1359
477	1245	1360
478	1248	1357
479	1250	1354
480	1251	1350
481	1253	1347
482	1255	1343
483	1257	1340
484	1290	1370
485	1294	1369
486	1296	1365
487	1298	1362
488	1314	1373
489	1317	1371
490	1319	1367
491	1321	1364
492	1323	1360
493	1326	1359
494	1328	1355
495	1330	1352
496	1332	1348
497	1334	1345
498	1344	1349
499	1345	1345
500	1347	1342
501	1349	1339
502	1351	1335
503	1353	1332
504	1357	1330
505	1358	1326
506	1361	1324
507	1363	1320
508	1365	1317
509	1375	1321
510	1377	1318
511	1379	1314
512	1381	1311
513	1384	1308
514	1387	1306
515	1388	1302
516	1390	1299
517	1392	1295
518	1394	1292
519	1396	1288
520	1399	1287
521	1405	1287
522	1407	1284
523	1409	1280
524	1411	1277
525	1416	1276
526	1418	1272
527	1419	1269
528	1422	1266
529	1424	1262
530	1426	1259
531	1428	1256
532	1430	1253
533	1431	1249
534	1433	1246
535	1435	1242
536	1447	1247
537	1448	1244
538	1450	1240
539	1452	1237
540	1454	1234
541	1457	1231
542	1460	1228
543	1462	1225
544	1464	1222
545	1466	1219
546	1468	1215
547	1494	1232
548	1496	1229
549	1497	1225
550	1499	1221
551	1516	1230
552	1518	1227
553	1520	1224
554	1522	1221
555	1524	1217
556	1526	1214
557	1528	1210
558	1530	1207
559	1532	1203
560	1534	1200
561	1536	1197
562	1538	1194
563	1540	1190
564	1542	1187
565	1544	1184
566	1583	1209
567	1585	1206
568	1587	1202
569	1589	1199
570	1591	1195
571	1593	1192
572	1595	1188
573	1602	1189
574	1603	1185
575	1605	1182
576	1607	1178
577	1609	1175
578	1611	1171
579	1614	1169
580	1616	1166
581	1623	1166
582	1625	1162
583	1631	1162
584	1633	1158
585	1635	1155
586	1637	1151
587	1638	1148
588	1640	1144
589	1642	1141
590	1644	1138
591	1646	1135
592	1648	1131
593	1650	1128
594	1652	1124
595	1654	1121
596	1655	1117
597	1672	1124
598	1673	1120
599	1675	1117
600	1678	1114
601	1680	1110
602	1684	1109
603	1687	1106
604	1693	1105
605	1695	1102
606	1697	1099
607	1699	1095
608	1701	1092
609	1702	1088
610	1704	1085
611	1714	1087
612	1716	1083
613	1725	1084
614	1743	1091
615	1745	1088
616	1747	1084
617	1749	1081
618	1753	1079
619	1755	1075
620	1757	1072
621	1759	1069
622	1761	1065
623	1762	1062
624	1764	1058
625	1765	1055
626	1767	1051
627	1769	1047
628	1771	1045
629	1773	1041
630	1775	1038
631	1777	1035
632	1779	1031
633	1781	1028
634	1783	1025
635	1787	1022
636	1788	1019
637	1790	1016
638	1792	1012
639	1794	1009
640	1796	1006
641	1798	1002
642	1803	1001
643	1805	998
644	1814	998
645	1815	995
646	1819	992
647	1822	989
648	1823	986
649	1825	983
650	1827	979
651	1829	976
652	1831	973
653	1835	970
654	1837	967
655	1839	964
656	1840	961
657	1842	957
658	1844	954
659	1849	952
660	1851	949
661	1853	946
662	1855	943
663	1857	939
664	1859	936
665	1861	933
666	1881	939
667	1883	936
668	1885	932
669	1887	929
670	1888	925
671	1890	922
672	1891	919
673	1892	915
674	1894	912
675	1896	909
676	1898	905
677	1900	902
678	1901	899
679	1903	895
680	1904	892
681	1906	888
682	1907	885
683	1908	881
684	1912	879
685	1914	876
686	1915	872
687	1917	869
688	1918	865
689	1919	862
690	1921	859
691	1922	855
692	1924	852
693	1927	849
694	1929	846
695	1930	843
696	1931	839
697	1933	836
698	1934	833
699	1936	829
700	1937	826
701	1939	823
702	1942	820
703	1944	817
704	1946	814
705	1947	811
706	1949	807
707	1950	804
708	1952	801
709	1953	798
710	1955	794
711	1956	791
712	1958	788
713	1959	785
714	1961	781
715	1964	779
716	1966	776
717	1967	772
718	1969	769
719	1970	766
720	1972	763
721	1973	759
722	1975	756
723	1976	753
724	1978	750
725	1979	747
726	1981	744
727	1983	740
728	1984	737
729	1986	734
730	1987	731
731	1989	728
732	1990	725
733	1992	722
734	1994	719
735	1997	716
736	2000	713
737	2002	710
738	2003	707
739	2005	704
740	2007	701
741	2010	699
742	2012	696
743	2014	693
744	2016	690
745	2018	687
746	2020	684
747	2022	681
748	2026	679
749	2028	676
750	2030	673
751	2031	670
752	2047	671
753	2050	668
754	2051	665
755	2053	662
756	2055	659
757	2057	656
758	2059	653
759	2060	650
760	2062	647
761	2064	644
762	2066	641
763	2068	638
764	2072	636
765	2074	633
766	2076	630
767	2078	627
768	2080	624
769	2082	621
770	2084	619
771	2086	616
772	2088	613
773	2090	610
774	2092	607
775	2099	606
776	2104	604
777	2106	601
778	2108	598
779	2109	595
780	2111	592
781	2113	589
782	2118	587
783	2120	584
784	2122	581
785	2123	578
786	2125	575
787	2126	572
788	2128	569
789	2132	566
790	2136	564
791	2138	561
792	2140	558
793	2141	555
794	2143	552
795	2146	550
796	2149	547
797	2154	545
798	2157	542
799	2159	539
800	2161	537
801	2163	534
802	2165	531
803	2171	529
804	2174	526
805	2176	523
806	2178	520
807	2180	518
808	2182	515
809	2185	512
810	2190	510
811	2192	507
812	2196	505
813	2199	502
814	2201	499
815	2206	497
816	2208	494
817	2210	491
818	2212	488
819	2213	485
820	2217	483
821	2222	481
822	2224	478
823	2226	475
824	2228	472
825	2231	469
826	2233	467
827	2238	464
828	2242	462
829	2244	459
830	2246	456
831	2248	454
832	2251	451
833	2256	449
834	2257	446
835	2259	443
836	2261	440
837	2262	437
838	2264	434
839	2266	431
840	2269	429
841	2270	426
842	2272	423
843	2273	420
844	2275	417
845	2277	414
846	2278	411
847	2281	408
848	2283	406
849	2284	403
850	2286	400
851	2287	397
852	2288	394
853	2290	391
854	2292	388
855	2294	385
856	2297	383
857	2299	380
858	2301	377
859	2303	374
860	2305	372
861	2307	369
862	2308	366
863	2312	363
864	2314	361
865	2316	358
866	2318	355
867	2320	352
868	2322	350
869	2324	347
870	2328	344
871	2330	342
872	2332	339
873	2334	336
874	2335	333
875	2337	330
876	2338	327
877	2340	325
878	2341	322
879	2344	319
880	2345	316
881	2347	314
882	2349	311
883	2351	308
884	2352	305
885	2354	302
886	2360	300
887	2362	298
888	2364	295
889	2366	292
890	2368	289
891	2369	286
892	2374	284
893	2376	281
894	2378	279
895	2380	276
896	2382	273
897	2384	270
898	2385	268
899	2389	265
900	2391	262
901	2393	260
902	2395	257
903	2396	254
904	2398	251
905	2400	249
906	2401	246
907	2404	243
908	2407	240
909	2408	238
910	2410	235
911	2411	232
912	2412	229
913	2414	227
914	2415	224
915	2417	221
916	2420	219
917	2422	216
918	2424	213
919	2428	211
920	2430	208
921	2432	205
922	2437	203
923	2439	200
924	2441	197
925	2443	195
926	2444	192
927	2446	189
928	2452	187
929	2454	184
930	2455	182
931	2457	179
932	2458	176
933	2460	173
934	2461	171
935	2463	168
936	2466	165
937	2467	163
938	2469	160
939	2470	157
940	2472	155
941	2473	152
942	2475	149
943	2476	146
944	2478	144
945	2479	141
946	2481	138
947	2483	136
948	2484	133
949	2486	130
950	2487	128
951	2488	125
952	2490	122
953	2492	120
954	2493	117
955	2495	114
956	2497	112
957	2498	109
958	2499	106
959	2501	104
960	2502	101
961	2503	98
962	2505	96
963	2506	93
964	2507	90
965	2509	88
966	2511	85
967	2513	83
968	2514	80
969	2516	77
970	2517	75
971	2519	72
972	2520	69
973	2521	67
974	2523	64
975	2526	62
976	2527	59
977	2529	56
978	2530	54
979	2532	51
980	2533	49
981	2535	46
982	2536	43
983	2538	41
984	2541	38
985	2543	36
986	2545	33
987	2546	30
988	2547	28
989	2550	25
990	2551	23
991	2552	20
992	2554	18
993	2557	15
994	2558	12
995	2560	10
996	2561	7
997	2562	5
998	2564	2
999	2565	0
